# Expected energy spectrum of the background sources
# candidate interactions in the detectors of Experimental Hall 3 (EH3)
#
# The three data taking periods are provided separately.
#
# Emin:        Lower bin edge in prompt true energy [MeV]
# Emax:        Upper bin edge in prompt true energy [MeV]
# Ec:          Center of bin in prompt true energy [MeV]
# Nbkg:        Estimated background in the given energy bin
# Nacc:        Estimated number of accidental events in the given energy bin
# Nalphan:     Estimated number of Alpha-N events in the given energy bin
# Namc:        Estimated number of AmC events in the given energy bin
# Nlihe:       Estimated number of Li9/He8 events in the given energy bin
# Nfastn:      Estimated number of fast neutron and Muon-x events in the given energy bin

# Estimated number = Background rate in the given bin * DAQ time * muon veto efficiency * multiplicity cut efficiency

# Six-ADs period:
# Emin  Emax    Ec      Nbkg    Nacc    Nalphan Namc    Nlihe   Nfastn
0.70    1.30    1.00    697.71  636.78  3.11    55.29   1.61    0.92    
1.30    1.55    1.43    259.83  237.60  1.96    18.15   1.64    0.49    
1.55    1.80    1.68    201.43  183.88  1.74    13.14   2.18    0.50    
1.80    2.05    1.92    110.81  96.80   1.40    9.43    2.68    0.50    
2.05    2.30    2.17    62.58   50.98   1.22    6.75    3.14    0.50    
2.30    2.55    2.42    62.64   53.03   0.72    4.82    3.56    0.50    
2.55    2.80    2.67    87.92   79.54   0.50    3.44    3.95    0.50    
2.80    3.05    2.92    44.83   37.18   0.41    2.45    4.29    0.50    
3.05    3.30    3.17    12.63   5.56    0.23    1.75    4.59    0.50    
3.30    3.55    3.42    8.31    1.53    0.16    1.25    4.86    0.50    
3.55    3.80    3.67    7.23    0.62    0.15    0.89    5.08    0.50    
3.80    4.05    3.92    6.97    0.46    0.11    0.64    5.27    0.50    
4.05    4.30    4.17    6.81    0.36    0.10    0.46    5.40    0.50    
4.30    4.55    4.42    6.70    0.23    0.15    0.33    5.50    0.50    
4.55    4.80    4.67    6.73    0.11    0.34    0.23    5.56    0.50    
4.80    5.05    4.92    6.62    0.03    0.34    0.17    5.58    0.50    
5.05    5.30    5.17    6.62    0.01    0.43    0.12    5.56    0.50    
5.30    5.55    5.42    6.73    0.00    0.64    0.09    5.51    0.50    
5.55    5.80    5.67    7.22    0.00    1.25    0.06    5.41    0.49    
5.80    6.05    5.92    7.36    0.01    1.54    0.04    5.29    0.49    
6.05    6.30    6.17    7.45    0.01    1.79    0.03    5.13    0.49    
6.30    6.55    6.42    7.34    0.00    1.87    0.02    4.95    0.49    
6.55    6.80    6.67    6.29    0.00    1.05    0.02    4.73    0.49    
6.80    7.05    6.92    5.80    0.00    0.80    0.01    4.49    0.49    
7.05    7.30    7.17    5.32    0.00    0.58    0.01    4.23    0.49    
7.30    12.00   9.65    36.81   0.04    0.58    0.02    27.61   8.55    

# Eight-ADs period:
# Emin  Emax    Ec      Nbkg    Nacc    Nalphan Namc    Nlihe   Nfastn
0.70    1.30    1.00    1845.06 1709.55 25.80   84.48   15.50   9.72    
1.30    1.55    1.43    710.82  645.87  16.27   27.73   15.77   5.19    
1.55    1.80    1.68    559.52  498.80  14.47   20.08   20.93   5.25    
1.80    2.05    1.92    310.02  252.96  11.65   14.41   25.74   5.27    
2.05    2.30    2.17    191.49  135.58  10.14   10.31   30.18   5.28    
2.30    2.55    2.42    200.23  147.32  6.00    7.37    34.26   5.28    
2.55    2.80    2.67    283.08  230.41  4.16    5.25    37.98   5.28    
