# True energy spectrum of prompt signals from antineutrino interactions after non-linearity correction
# candidate interactions in the detectors of Experimental Hall 1 (EH1)
#
# Emin:        Lower bin edge in true prompt energy [MeV]
# Emax:        Upper bin edge in true prompt energy [MeV]
# Ec:          Center of bin in true prompt energy [MeV]
# Nobs_xAD:    Total number of observed events, including backgrounds
# Npred_xAD:   Total predicted number of events from best fit, backgrounds subtracted

# Emin  Emax    Ec      Nobs_6AD   Nobs_8AD   Nobs_7AD   Npred_6AD  Npred_8AD  Npred_7AD
0.70    1.30    1.00    5604.67    39012.43   17603.20   4556.54    32272.59   14765.03   
1.30    1.55    1.43    6448.07    45725.01   20510.40   6030.42    42781.78   19576.57   
1.55    1.80    1.68    8844.75    62899.76   28833.75   8577.60    60796.66   27686.81   
1.80    2.05    1.92    10999.21   76876.15   34955.92   10736.49   76049.59   34628.29   
2.05    2.30    2.17    12453.95   88554.65   40380.09   12439.47   87968.81   40048.60   
2.30    2.55    2.42    13852.80   98712.69   44305.75   13820.58   97564.10   44414.26   
2.55    2.80    2.67    14634.41   103231.47  47315.89   14512.62   102298.11  46565.45   
2.80    3.05    2.92    14763.28   103356.76  47245.01   14613.88   102958.82  46863.65   
3.05    3.30    3.17    14338.59   101450.82  46386.84   14356.40   101087.67  46011.71   
3.30    3.55    3.42    13680.12   95245.23   43744.79   13543.20   95309.77   43380.40   
3.55    3.80    3.67    12418.46   87102.31   39837.25   12326.45   86663.11   39443.55   
3.80    4.05    3.92    11250.57   78050.78   35421.92   11079.51   77803.23   35410.35   
4.05    4.30    4.17    10242.88   71394.13   32549.54   10159.20   71272.85   32438.89   
4.30    4.55    4.42    9377.80    65261.47   29489.01   9220.40    64658.04   29429.34   
4.55    4.80    4.67    8319.67    57679.34   26035.45   8196.95    57465.65   26155.83   
4.80    5.05    4.92    7091.25    50508.33   22903.31   7123.99    49916.10   22719.95   
5.05    5.30    5.17    6091.09    42036.04   19281.20   6000.34    41967.53   19102.91   
5.30    5.55    5.42    4925.09    34001.81   15551.82   4861.95    33945.18   15452.15   
5.55    5.80    5.67    3848.18    26983.96   12266.92   3832.26    26742.04   12172.87   
5.80    6.05    5.92    3137.42    21634.12   9651.62    3034.98    21174.78   9638.35    
6.05    6.30    6.17    2350.71    16325.35   7302.89    2272.49    15849.52   7214.58    
6.30    6.55    6.42    1587.70    11480.48   5208.90    1607.16    11203.51   5100.08    
6.55    6.80    6.67    1206.10    7961.25    3731.80    1110.33    7731.57    3519.58    
6.80    7.05    6.92    774.08     5355.16    2323.59    735.10     5113.00    2327.62    
7.05    7.30    7.17    499.20     3398.79    1491.50    456.66     3179.50    1447.33    
7.30    12.00   9.65    896.96     5822.70    2783.65    533.87     3755.75    1708.62    
