# True energy spectrum of the prompt signals from antineutrino after non-linearity corretion
# candidate interactions in the detectors of Experimental Hall 3 (EH3)
#
# Emin:        Lower bin edge in true prompt energy [MeV]
# Emax:        Upper bin edge in true prompt energy [MeV]
# Ec:          Center of bin in true prompt energy [MeV]
# Nobs_xAD:    Total number of observed events, including backgrounds
# Npred_xAD:   Total predicted number of events from best fit, backgrounds subtracted

# Emin  Emax    Ec      Nobs_6AD   Nobs_8AD   Nobs_7AD   Npred_6AD  Npred_8AD  Npred_7AD
0.70    1.30    1.00    1597.61    11127.91   9401.67    950.57     9352.43    8077.33    
1.30    1.55    1.43    1484.69    12871.60   11087.98   1248.86    12313.35   10637.36   
1.55    1.80    1.68    1992.75    17468.75   15357.16   1734.43    17103.67   14773.24   
1.80    2.05    1.92    2243.54    21564.13   18291.86   2142.11    21116.43   18235.03   
2.05    2.30    2.17    2443.81    24510.56   21072.42   2459.48    24234.60   20922.13   
2.30    2.55    2.42    2862.84    26955.85   23528.06   2718.53    26772.23   23111.64   
2.55    2.80    2.67    2899.64    28079.51   24502.50   2847.75    28034.33   24198.17   
2.80    3.05    2.92    2885.30    28387.22   24534.88   2868.50    28239.11   24373.34   
3.05    3.30    3.17    2777.18    27894.46   23765.71   2822.40    27787.55   23985.86   
3.30    3.55    3.42    2677.33    26325.62   22620.05   2668.66    26268.21   22675.29   
3.55    3.80    3.67    2362.65    23984.39   20650.68   2435.02    23965.64   20687.75   
3.80    4.05    3.92    2256.38    21717.35   18652.63   2194.02    21593.31   18641.03   
4.05    4.30    4.17    2090.15    19701.62   17290.83   2016.87    19840.05   17131.02   
4.30    4.55    4.42    1825.64    18322.23   15699.07   1836.50    18063.31   15598.18   
4.55    4.80    4.67    1635.50    16155.66   13941.58   1637.65    16106.20   13907.35   
4.80    5.05    4.92    1441.80    14238.48   12129.82   1427.03    14034.06   12119.25   
5.05    5.30    5.17    1223.15    11975.52   10368.66   1204.18    11841.31   10228.06   
5.30    5.55    5.42    988.90     9778.50    8302.94    977.14     9602.83    8296.25    
5.55    5.80    5.67    821.52     7798.76    6515.64    771.93     7585.15    6553.17    
5.80    6.05    5.92    580.60     6027.80    5049.45    612.89     6024.81    5205.26    
6.05    6.30    6.17    452.78     4589.70    3955.84    460.03     4524.11    3908.74    
6.30    6.55    6.42    343.44     3260.89    2742.69    326.06     3207.96    2771.75    
6.55    6.80    6.67    231.29     2322.77    1977.29    225.60     2220.09    1918.42    
6.80    7.05    6.92    161.62     1534.12    1305.21    149.55     1472.52    1272.57    
7.05    7.30    7.17    108.00     975.97     850.48     93.20      919.41     794.41     
7.30    12.00   9.65    142.86     1460.64    1257.90    111.12     1113.61    960.39     
