E_vis_MeV,Counts
0.9051905006054605,66
0.9252492344829069,91
0.9453079683603531,124
0.9653667022377995,159
0.9854254361152458,198
1.0054841699926922,233
1.0255429038701385,263
1.0456016377475847,290
1.0656603716250312,314
1.0857191055024775,334
1.1057778393799238,354
1.1258365732573703,369
1.1458953071348166,382
1.1659540410122629,392
1.1860127748897091,404
1.2060715087671556,415
1.226130242644602,424
1.2461889765220482,434
1.2662477103994945,445
1.286306444276941,453
1.3063651781543872,456
1.3264239120318335,456
1.34648264590928,452
1.3665413797867263,440
1.3866001136641726,429
1.4066588475416189,412
1.4267175814190654,400
1.4467763152965116,394
1.466835049173958,392
1.4868937830514042,391
1.5069525169288507,389
1.527011250806297,381
1.5470699846837432,368
1.5671287185611897,361
1.587187452438636,357
1.6072461863160823,352
1.6273049201935286,349
1.647363654070975,342
1.6674223879484213,336
1.6874811218258676,330
1.707539855703314,329
1.7275985895807604,329
1.7476573234582067,328
1.767716057335653,326
1.7877747912130995,321
1.8078335250905457,317
1.827892258967992,315
1.8479509928454383,314
1.8680097267228848,317
1.888068460600331,316
1.9081271944777773,312
1.9281859283552236,308
1.9482446622326701,303
1.9683033961101164,299
1.9883621299875627,300
2.008420863865009,303
2.0284795977424555,309
2.048538331619902,314
2.068597065497348,316
2.0886557993747945,315
2.1087145332522406,313
2.128773267129687,312
2.1488320010071336,314
2.1688907348845796,318
2.188949468762026,324
2.2090082026394726,330
2.2290669365169187,335
2.249125670394365,336
2.2691844042718117,335
2.2892431381492577,333
2.3093018720267042,331
2.3293606059041503,330
2.349419339781597,332
2.3694780736590433,337
2.3895368075364893,343
2.409595541413936,347
2.4296542752913823,348
2.4497130091688284,347
2.469771743046275,343
2.4898304769237214,339
2.5098892108011674,336
2.529947944678614,331
2.55000667855606,331
2.5700654124335065,335
2.590124146310953,340
2.610182880188399,348
2.6302416140658456,355
2.650300347943292,360
2.670359081820738,364
2.6904178156981846,364
2.710476549575631,363
2.730535283453077,361
2.7505940173305237,357
2.7706527512079697,356
2.790711485085416,358
2.8107702189628627,361
2.8308289528403088,365
2.8508876867177553,371
2.8709464205952018,377
2.891005154472648,381
2.9110638883500943,382
2.931122622227541,385
2.951181356104987,383
2.9712400899824334,380
2.9912988238598794,376
3.011357557737326,372
3.0314162916147724,370
3.0514750254922185,370
3.071533759369665,372
3.0915924932471115,378
3.1116512271245576,386
3.131709961002004,394
3.1517686948794505,404
3.1718274287568966,412
3.191886162634343,419
3.211944896511789,423
3.2320036303892357,425
3.252062364266682,425
3.272121098144128,422
3.2921798320215747,418
3.312238565899021,414
3.3322972997764673,410
3.3523560336539138,408
3.3724147675313603,407
3.3924735014088063,409
3.412532235286253,413
3.432590969163699,419
3.4526497030411454,426
